"gene","trait","estimate_longevity","std_error_longevity","p_value_longevity","n_species","n_nonzero_species","n_zeros_excluded","n_total_species","mean_copy_number","copy_number_range","status","adjusted_p_longevity"
"FAM166B","maximum_longevity_y",-0.0387273458768918,0.163743880524273,0.813035618458281,315,315,48,363,1.02222222222222,"1 - 3","success",0.999993213635889
"PEX26","maximum_longevity_y",-0.0117434919836153,0.152402371215677,0.938579126981673,358,358,5,363,1.02513966480447,"1 - 2","success",0.999993213635889
"GRXCR1","maximum_longevity_y",NA,NA,NA,0,352,11,363,NA,NA,"No variation in nonzero copy numbers",NA
"C5orf49","maximum_longevity_y",-0.0467051175549969,0.153094964610067,0.760310666820641,344,344,19,363,1.02906976744186,"1 - 2","success",0.999993213635889
"UBE2QL1","maximum_longevity_y",0.0294127990836003,0.165735575318692,0.859140618452692,309,309,54,363,1.01294498381877,"1 - 2","success",0.999993213635889
"FASTKD5","maximum_longevity_y",0.00708120179070503,0.157635730829261,0.964170039867685,336,336,27,363,1.00297619047619,"1 - 2","success",0.999993213635889
"GOLGA8B","maximum_longevity_y",0.203688102353272,0.335555407753455,0.543839105428003,142,142,221,363,5.79577464788732,"1 - 30","success",0.999993213635889
"KCNU1","maximum_longevity_y",-0.0488590024670239,0.184112710969382,0.79072020901665,267,267,96,363,1.02996254681648,"1 - 3","success",0.999993213635889
"GAGE12G","maximum_longevity_y",0.266456286203747,0.202957238353468,0.189227061780721,268,268,95,363,6.41044776119403,"1 - 29","success",0.999993213635889
"HOMEZ","maximum_longevity_y",0.00157038639738716,0.154484273322363,0.991889365467859,345,345,18,363,1.00869565217391,"1 - 2","success",0.999993213635889
"GAGE10","maximum_longevity_y",0.178616242487335,0.197769284043867,0.366443838943399,280,280,83,363,5.81428571428571,"1 - 26","success",0.999993213635889
"RNF212B","maximum_longevity_y",0.00600065536540712,0.155691883869664,0.969255653868191,346,346,17,363,1.00867052023121,"1 - 2","success",0.999993213635889
"DDX3X","maximum_longevity_y",0.158904790453024,0.127622759251973,0.213090118808798,348,348,15,363,1.52873563218391,"1 - 9","success",0.999993213635889
"VPS16","maximum_longevity_y",-0.060091035174412,0.155847197517216,0.699810253580168,335,335,28,363,1.03582089552239,"1 - 2","success",0.999993213635889
"ZNF705D","maximum_longevity_y",0.395435204003727,0.188909465134189,0.0363266233334611,284,284,79,363,3.05281690140845,"1 - 26","success",0.999993213635889
"ZNF705B","maximum_longevity_y",0.502665183979655,0.181829404844132,0.00570122269584339,288,288,75,363,3.19097222222222,"1 - 27","success",0.411299564808053
"ZNF705G","maximum_longevity_y",0.444765772234283,0.174572506845398,0.0108422508665361,290,290,73,363,3.23103448275862,"1 - 19","success",0.596163882454962
"MYL5","maximum_longevity_y",0.361092261363314,0.158071590868837,0.0223504410260311,281,281,82,363,1.34163701067616,"1 - 3","success",0.853713567059876
"SCRT2","maximum_longevity_y",-0.00104803601973099,0.180944812438075,0.995378662297105,262,262,101,363,1.01145038167939,"1 - 2","success",0.999993213635889
"ZNF407","maximum_longevity_y",-0.206682539940945,0.145156013369593,0.154485609149712,337,337,26,363,1.12759643916914,"1 - 5","success",0.999993213635889
"NPEPL1","maximum_longevity_y",-0.0323750939674683,0.151015596789244,0.830248824643563,349,349,14,363,1.0487106017192,"1 - 3","success",0.999993213635889
"KRTAP10-4","maximum_longevity_y",0.291637261975287,0.263915393197132,0.269141935560568,121,121,242,363,1.73553719008264,"1 - 5","success",0.999993213635889
"KRTAP10-1","maximum_longevity_y",0.366383201227937,0.21010836015094,0.0811970898038172,176,176,187,363,1.18181818181818,"1 - 3","success",0.999993213635889
"SKOR2","maximum_longevity_y",-0.00872453671534091,0.1592482725597,0.956309149867691,326,326,37,363,1.02147239263804,"1 - 2","success",0.999993213635889
"SIAH3","maximum_longevity_y",-0.000844881919518016,0.159288473045346,0.995767960697161,324,324,39,363,1.00925925925926,"1 - 2","success",0.999993213635889
"EFCAB8","maximum_longevity_y",-0.0311984295059484,0.17943086468987,0.861964191409311,257,257,106,363,1.0272373540856,"1 - 3","success",0.999993213635889
"DEFB116","maximum_longevity_y",0.393785514197782,0.197005838724066,0.0456243698477756,244,244,119,363,1.40163934426229,"1 - 4","success",0.999993213635889
"DEFB115","maximum_longevity_y",-0.0503313480869231,0.20727231932287,0.808139296628722,192,192,171,363,1.03125,"1 - 4","success",0.999993213635889
"GAB4","maximum_longevity_y",0.22205493614363,0.191871799297477,0.247146188942183,323,323,40,363,1.34674922600619,"1 - 13","success",0.999993213635889
"C20orf202","maximum_longevity_y",-0.0396063703984169,0.174541422538756,0.820488485812555,279,279,84,363,1.01792114695341,"1 - 2","success",0.999993213635889
"HMX1","maximum_longevity_y",-0.0418399985331185,0.179435088132347,0.815624557877477,265,265,98,363,1.02641509433962,"1 - 2","success",0.999993213635889
"GCGR","maximum_longevity_y",-0.0293327524092439,0.155108330279027,0.850005512259711,336,336,27,363,1.01785714285714,"1 - 2","success",0.999993213635889
"RSC1A1","maximum_longevity_y",-0.020824312011021,0.154598329814349,0.892849497762703,344,344,19,363,1.00290697674419,"1 - 2","success",0.999993213635889
"CELA2B","maximum_longevity_y",0.171532349434693,0.217038653625064,0.429334558989083,223,223,140,363,1.47533632286996,"1 - 7","success",0.999993213635889
"TMEM242","maximum_longevity_y",0.192101833135661,0.143241958051515,0.179887889428455,355,355,8,363,1.21408450704225,"1 - 3","success",0.999993213635889
"TMEM167B","maximum_longevity_y",0.0947333176897948,0.152564473863302,0.534639389197776,347,347,16,363,1.06916426512968,"1 - 3","success",0.999993213635889
"FAM72D","maximum_longevity_y",-0.0124753015168979,0.152438491972538,0.93477532801213,355,355,8,363,1.0056338028169,"1 - 2","success",0.999993213635889
"TNFRSF25","maximum_longevity_y",-0.123279700056994,0.15908188588602,0.438372204508705,321,321,42,363,1.03426791277259,"1 - 4","success",0.999993213635889
"SLC35E2A","maximum_longevity_y",NA,NA,NA,0,60,303,363,NA,NA,"No variation in nonzero copy numbers",NA
"ZC3H11B","maximum_longevity_y",NA,NA,NA,0,8,355,363,NA,NA,"Insufficient nonzero species",NA
"TSTD1","maximum_longevity_y",-0.0122964645370283,0.155300412979063,0.936890590157131,333,333,30,363,1.02702702702703,"1 - 2","success",0.999993213635889
"RPTN","maximum_longevity_y",NA,NA,NA,0,178,185,363,NA,NA,"No variation in nonzero copy numbers",NA
"CYB5RL","maximum_longevity_y",-0.0351478567781004,0.156299064030562,0.822075996922804,340,340,23,363,1.00882352941176,"1 - 3","success",0.999993213635889
"LACTBL1","maximum_longevity_y",-0.0138527048333578,0.179839338795332,0.938601092334043,277,277,86,363,1.01083032490975,"1 - 2","success",0.999993213635889
"C1orf167","maximum_longevity_y",NA,NA,NA,0,4,359,363,NA,NA,"Insufficient nonzero species",NA
"TTC34","maximum_longevity_y",-0.0512809821477586,0.157649118314381,0.744964956606251,317,317,46,363,1.06309148264984,"1 - 4","success",0.999993213635889
"ATAD3C","maximum_longevity_y",0.178908374444915,0.211210739097371,0.396961136050024,298,298,65,363,1.26174496644295,"1 - 7","success",0.999993213635889
"IFI30","maximum_longevity_y",0.0181703488336349,0.156922640486202,0.907817580609229,333,333,30,363,1.03003003003003,"1 - 3","success",0.999993213635889
"IGSF23","maximum_longevity_y",NA,NA,NA,0,54,309,363,NA,NA,"No variation in nonzero copy numbers",NA
"GAGE12E","maximum_longevity_y",0.301008906502583,0.204665641629834,0.141362818022303,265,265,98,363,6.26415094339623,"1 - 27","success",0.999993213635889
"FAM240C","maximum_longevity_y",0.208984852233157,0.194742457983941,0.283210769154406,210,210,153,363,1.17142857142857,"1 - 8","success",0.999993213635889
"CCDC7","maximum_longevity_y",-0.410657584186228,0.126126740390309,0.00113028725035658,343,343,20,363,1.45189504373178,"1 - 10","success",0.160828659134707
"FNIP1","maximum_longevity_y",-0.154943181885954,0.146358802617464,0.289757851175128,344,344,19,363,1.11337209302326,"1 - 4","success",0.999993213635889
"SP9","maximum_longevity_y",NA,NA,NA,0,284,79,363,NA,NA,"No variation in nonzero copy numbers",NA
"SYCE3","maximum_longevity_y",-0.00963183730015277,0.153838177928495,0.950076916183069,350,350,13,363,1.01142857142857,"1 - 2","success",0.999993213635889
"CKLF","maximum_longevity_y",-0.220435856317922,0.144863623236356,0.128089665285722,357,357,6,363,1.0812324929972,"1 - 4","success",0.999993213635889
"PAM16","maximum_longevity_y",-0.00632088592771788,0.150484844448333,0.966495930424915,356,356,7,363,1.04213483146067,"1 - 3","success",0.999993213635889
"CDC14C","maximum_longevity_y",0.137430244659573,0.968575100660636,0.887167607942766,29,29,334,363,1.06896551724138,"1 - 2","success",0.999993213635889
"TENM3","maximum_longevity_y",0.012916859218241,0.164413804969667,0.93738013379759,318,318,45,363,1.0062893081761,"1 - 2","success",0.999993213635889
"CEBPZOS","maximum_longevity_y",-0.182372007990388,0.140120901333256,0.193076001007978,352,352,11,363,1.17045454545455,"1 - 11","success",0.999993213635889
"TDRD15","maximum_longevity_y",NA,NA,NA,0,248,115,363,NA,NA,"No variation in nonzero copy numbers",NA
"PAPOLB","maximum_longevity_y",-0.00879344203031068,0.161994630379595,0.956710246859604,321,321,42,363,1.00623052959502,"1 - 2","success",0.999993213635889
"ZNF579","maximum_longevity_y",-0.0123469031077618,0.185240041948048,0.946857527899163,250,250,113,363,1.016,"1 - 2","success",0.999993213635889
"CELA3B","maximum_longevity_y",-0.0432836451035994,0.192892681397497,0.822452010539098,340,340,23,363,1.40588235294118,"1 - 12","success",0.999993213635889
"RNASEK","maximum_longevity_y",-0.00128077900260257,0.152278075909921,0.993289239193515,353,353,10,363,1.01983002832861,"1 - 3","success",0.999993213635889
"CATSPERZ","maximum_longevity_y",-0.0392051667423169,0.155830101775288,0.801358626657627,333,333,30,363,1.05105105105105,"1 - 4","success",0.999993213635889
"TAFA5","maximum_longevity_y",-0.0642472772741202,0.154112048470051,0.676761215928575,325,325,38,363,1.06461538461538,"1 - 2","success",0.999993213635889
"NBPF1","maximum_longevity_y",0.790504652179408,1.06351446739728,0.457303288089202,23,23,340,363,4.52173913043478,"1 - 12","success",0.999993213635889
"UMAD1","maximum_longevity_y",-0.101314173456723,0.152300276202377,0.505905659524202,342,342,21,363,1.05263157894737,"1 - 2","success",0.999993213635889
