"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"SLC6A5",2,7,1544,471.857142857143,0.5,1.42857142857143,1072.14285714286,-0.928571428571429,1.09065146896736,1169.33418208572,-1.01274779261255,0.000738584824718933,9,0.0194170063130056
"MBD1",2,12,2221.5,925.333333333333,0.5,1.25,1296.16666666667,-0.75,0.901890894878579,1169.00091491178,-0.676418171158934,0.00470890141579775,14,0.0743745852076198
"NME4",2,18,2221.5,808.777777777778,0.5,1.08333333333333,1412.72222222222,-0.583333333333333,0.806833923711825,1139.83221367044,-0.470653122165231,0.0170384428730427,20,0.166876514021271
"OR4A15",4,153,1442.25,401.588235294118,2.75,3.48692810457516,1040.66176470588,-0.736928104575163,1.09134328150958,1135.71922523567,-0.804241535883696,0.121652822387062,157,0.418038911555044
"OR4L1",3,52,1603.33333333333,530.269230769231,0.666666666666667,1.375,1073.0641025641,-0.708333333333333,1.0579591776699,1135.25801553581,-0.749387750849514,0.135253999230328,55,0.432379984739513
"ZNF768",2,54,1994.5,636.074074074074,0.5,2.09567901234568,1358.42592592593,-1.59567901234568,0.818144283588978,1111.38840597536,-1.30549566239352,0.161272642771088,56,0.461306714755382
"SLC7A5",2,8,2221.5,830.625,0.5,0.9375,1390.875,-0.4375,0.786827662628082,1094.37892525783,-0.344237102399786,0.00141282514617694,10,0.0308505425361915
"COX7C",2,146,1737,524.828767123288,0.75,2.0810502283105,1212.17123287671,-1.3310502283105,0.885516123646845,1073.3971713332,-1.17866643855276,0.178388721549528,148,0.479060034483812
"DEFB107B",2,18,1642,478.777777777778,1,3.7037037037037,1163.22222222222,-2.7037037037037,0.922280518201845,1072.81719389501,-2.4935732529161,0.224475902572131,20,0.527906686330573
"IRX4",3,15,1846,822.066666666667,0.666666666666667,1.26666666666667,1023.93333333333,-0.6,1.04747235768701,1072.54186278099,-0.628483414612207,0.10303308915051,18,0.390732265600506
