"Metric","Genes_Only","Genes_Plus_Mass","Improvement","Percent_Change"
"RMSE",0.193999464003532,0.184438218285319,0.00956124571821307,4.92849079110806
"R-squared",0.640354864627529,0.678097742785953,0.0377428781584237,5.89405659944152
"MAE",0.146597371911837,0.141333916551248,0.00526345536058967,3.5904159071522
"Spearman's ρ",0.80466829542947,0.800661401464667,-0.00400689396480269,-0.497955988518738
