"","pathway","pval","padj","log2err","ES","NES","size"
"1556","REACTOME_NETRIN_1_SIGNALING",0.00139616081001443,0.0256980849093281,0.45505986738723,-0.568805599569267,-1.74772759735995,49
"1557","REACTOME_NETRIN_MEDIATED_REPULSION_SIGNALS",0.115384615384615,0.533031674208145,0.204294756516886,-0.688870718585846,-1.3799935543965,8
"1558","REACTOME_NEUREXINS_AND_NEUROLIGINS",0.000329788816640814,0.00669812458625653,0.49849310876659,-0.618694657319729,-1.92612119752515,53
"1559","REACTOME_NEUROFASCIN_INTERACTIONS",0.00327343367499705,0.0524640118251227,0.431707695803346,-0.882770439917845,-1.68856275802666,7
"1560","REACTOME_NEURONAL_SYSTEM",8.8016895477246e-07,2.42027530857056e-05,0.659444398037935,-0.386450615244619,-1.52812891269553,386
"1561","REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS",0.780821917808219,0.977666664962482,0.0498907356726307,0.399324018162727,0.75643071541782,10
"1562","REACTOME_NEUROTRANSMITTER_CLEARANCE",0.957191780821918,1,0.0405756447890657,0.282133395361049,0.534439093040603,10
"1563","REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION",0.111654273929213,0.521267769235024,0.287805130535564,-0.312389458136303,-1.13799242842809,194
"1564","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",0.036885077143307,0.314859571556635,0.321775918075361,-0.462354773328128,-1.42317304839631,51
"1565","REACTOME_NEUTROPHIL_DEGRANULATION",0.381671701913394,0.797886894150804,0.0584693210386381,0.353662379201319,1.03779862904613,472
"1566","REACTOME_NFE2L2_REGULATES_PENTOSE_PHOSPHATE_PATHWAY_GENES",0.427884615384615,0.819271620277825,0.0982123351217438,-0.513517660572897,-1.02871415860748,8
"1567","REACTOME_NFE2L2_REGULATING_ANTI_OXIDANT_DETOXIFICATION_ENZYMES",0.55,0.880298913043478,0.0988903007520636,-0.372522514234247,-0.926973217840123,19
"1568","REACTOME_NFE2L2_REGULATING_ER_STRESS_ASSOCIATED_GENES",0.486425339366516,0.848661857336176,0.0873098257637931,-0.588005249948001,-1.01878301281836,5
"1569","REACTOME_NFE2L2_REGULATING_INFLAMMATION_ASSOCIATED_GENES",0.420814479638009,0.814449917898194,0.0956031492204301,-0.623093005278757,-1.0795763630343,5
"1570","REACTOME_NFE2L2_REGULATING_MDR_ASSOCIATED_ENZYMES",0.612627986348123,0.910791826673438,0.0610363728309177,0.492002501681441,0.902945249516494,8
"1571","REACTOME_NFE2L2_REGULATING_TUMORIGENIC_GENES",0.12378640776699,0.552349955869373,0.197822021315103,-0.618662269554643,-1.34009869505194,11
"1572","REACTOME_NF_KB_ACTIVATION_THROUGH_FADD_RIP_1_PATHWAY_MEDIATED_BY_CASPASE_8_AND_10",0.955729166666667,1,0.059989249649033,-0.280632444418119,-0.619592163124155,12
"1573","REACTOME_NF_KB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL",0.444983818770227,0.825497540962719,0.0741758965588009,0.506240268626579,1.01412268009512,12
"1574","REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION",0.0679405520169851,0.431449974533739,0.252961123069611,-0.83824870864838,-1.39414435535692,4
"1575","REACTOME_NGF_STIMULATED_TRANSCRIPTION",0.973992197659298,1,0.0264649017470855,0.249171992094607,0.611795070625757,39
"1576","REACTOME_NICOTINAMIDE_SALVAGING",0.00256417900768273,0.0428454307950391,0.431707695803346,-0.712608537260703,-1.77323249898803,19
"1577","REACTOME_NICOTINATE_METABOLISM",0.0426300767532752,0.335907895754904,0.321775918075361,-0.524277118345895,-1.49101277098805,31
"1578","REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",0.00538947197155431,0.0788670556831178,0.407017918923954,-0.68488313335978,-1.77449901125919,22
"1579","REACTOME_NOD1_2_SIGNALING_PATHWAY",0.307588075880759,0.739896415737394,0.0843144320642653,0.472237250925056,1.13086934638417,34
"1580","REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3",0.905437352245863,1,0.0579754757571486,-0.344631984126346,-0.628234571818955,6
"1581","REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ",1.45195139433035e-07,4.44259413641857e-06,0.690132458796796,0.756334855174693,1.9831312242455,65
