"","pathway","pval","padj","log2err","ES","NES","size"
"170","KEGG_MEDICUS_REFERENCE_CLASSICAL_PATHWAY_OF_COMPLEMENT_CASCADE_C4_C2_TO_C3_CONVERTASE_FORMATION",0.827433628318584,0.97844998022934,0.0590954798717342,-0.59073506891271,-0.796592669075891,1
"171","KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE",0.451327433628319,0.933946234352555,0.0902635484340068,-0.761868300153139,-1.02736189984512,1
"172","KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE",0.481751824817518,0.940055551966927,0.0650877566917313,-0.560235171168697,-1.00767390843651,4
"173","KEGG_MEDICUS_REFERENCE_COHESIN_LOADING",0.189090909090909,0.775171656138423,0.134273452883202,0.906584992343032,1.22115285263678,1
"174","KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING",0.914634146341463,0.97844998022934,0.0589694466690997,0.427805438529299,0.682922080399483,2
"175","KEGG_MEDICUS_REFERENCE_COPII_VESICLE_FORMATION",0.865454545454545,0.97844998022934,0.047925896705813,0.558575803981623,0.752391052363624,1
"176","KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION",0.619335347432024,0.967940785018796,0.0547939500773363,-0.546520536757179,-0.923884697170887,3
"177","KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION",0.117256637168142,0.58298854081263,0.193813302725311,-0.923813169984686,-1.24574083634486,1
"178","KEGG_MEDICUS_REFERENCE_CREATINE_PATHWAY",0.38,0.920294117647059,0.088894528862045,0.798621745788668,1.07572839974676,1
"179","KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY",0.788321167883212,0.97844998022934,0.0421619430092452,-0.441996103482827,-0.795001749320971,4
"180","KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS",0.54222972972973,0.945225939833762,0.066436413766281,-0.622727940247837,-0.956719625651439,2
"181","KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY",0.875912408759124,0.97844998022934,0.0373029764832679,-0.397470295132235,-0.71491485432411,4
"182","KEGG_MEDICUS_REFERENCE_CXCR4_GNA12_13_RHO_SIGNALING_PATHWAY",0.00430168998885168,0.0774304197993303,0.407017918923954,-0.99770290964778,-1.345379452762,1
"183","KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.38368580060423,0.920294117647059,0.0782955249944794,-0.631097779112159,-1.06686124550762,3
"184","KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_PLCB_PKC_SIGNALING_PATHWAY",0.927007299270073,0.97844998022934,0.0346410167413251,-0.361048925817291,-0.649405108672766,4
"185","KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.613293051359517,0.96679976997157,0.0552495663125249,-0.547892720306513,-0.926204352696482,3
"186","KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_ERK_SIGNALING_PATHWAY",0.601360544217687,0.96679976997157,0.0513223330421143,-0.470936342905967,-0.937979158168005,6
"187","KEGG_MEDICUS_REFERENCE_CXCR_GNB_G_PI3K_AKT_SIGNALING_PATHWAY",0.613293051359517,0.96679976997157,0.0552495663125249,-0.547892720306513,-0.926204352696482,3
"188","KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY",0.247566063977747,0.884026793135481,0.0982123351217438,-0.617516740693431,-1.17192556477924,5
"189","KEGG_MEDICUS_REFERENCE_DEPHOSPHORYLATION_OF_KINETOCHORE",0.260975609756098,0.884026793135481,0.132147260608774,0.727269884212544,1.16096855628053,2
"190","KEGG_MEDICUS_REFERENCE_DEUBIQUITINATION_OF_H2AK119",0.854545454545454,0.97844998022934,0.048505983646947,0.563552833078101,0.759095016503944,1
"191","KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC",0.451327433628319,0.933946234352555,0.0902635484340068,-0.761868300153139,-1.02736189984512,1
"192","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",0.0125107746803533,0.176552052289146,0.380730400722792,-0.945918413898165,-1.45324892678059,2
"193","KEGG_MEDICUS_REFERENCE_DOUBLE_HOLLIDAY_JUNCTION_RESOLUTION",0.597345132743363,0.96679976997157,0.0751181635276301,-0.683384379785605,-0.921528136293237,1
"194","KEGG_MEDICUS_REFERENCE_DOUBLE_STRAND_BREAK_SIGNALING",0.685454545454545,0.97844998022934,0.0587185879555941,0.641271056661562,0.86377999500279,1
