"gene","trait","estimate_longevity","std_error_longevity","p_value_longevity","n_species","n_nonzero_species","n_zeros_excluded","n_total_species","mean_copy_number","copy_number_range","status","adjusted_p_longevity"
"PTRHD1","MLres",0.0113692934389487,0.212740892534014,0.957379761844421,346,346,17,363,1.0028901734104,"1 - 2","success",0.999997530435179
"LCN12","MLres",-0.0648413757026309,0.264582616224673,0.806401897806095,287,287,76,363,1.30313588850174,"1 - 8","success",0.999997530435179
"OR6A2","MLres",-0.0340907883731035,0.21249309328025,0.872540426264087,260,260,103,363,1.26153846153846,"1 - 5","success",0.999997530435179
"WT1","MLres",-0.0806278251427149,0.202649143168873,0.690726704054048,353,353,10,363,1.07365439093484,"1 - 4","success",0.999997530435179
"ZFP90","MLres",0.345160465698959,0.217413200368154,0.112381742231102,331,331,32,363,1.14803625377644,"1 - 6","success",0.999997530435179
"AQP12A","MLres",0.158895527496678,0.239056553039585,0.506256746551363,241,241,122,363,1.05809128630705,"1 - 3","success",0.999997530435179
"FAM227A","MLres",-0.111748521530517,0.44644709436972,0.802350482752044,80,80,283,363,1.1375,"1 - 3","success",0.999997530435179
"OR6C70","MLres",0.0571591699304276,0.255099946306619,0.82270611460027,186,186,177,363,1.25268817204301,"1 - 3","success",0.999997530435179
"MUC6","MLres",0.1669832559124,0.262662263918929,0.524949999779382,206,206,157,363,1.1747572815534,"1 - 2","success",0.999997530435179
"NOC4L","MLres",-0.0803649505784136,0.208232486249497,0.699542155366718,333,333,30,363,1.08408408408408,"1 - 17","success",0.999997530435179
"USP18","MLres",0.250308496709372,0.22046276959346,0.256217128655109,278,278,85,363,1.10431654676259,"1 - 6","success",0.999997530435179
"NDUFA6","MLres",-0.0539362613326082,0.212239639883339,0.79939584931262,339,339,24,363,1.023598820059,"1 - 2","success",0.999997530435179
"CHRM5","MLres",-0.0010001671216842,0.212900583444176,0.996251701350874,335,335,28,363,1.0089552238806,"1 - 2","success",0.999997530435179
"SORCS2","MLres",-0.10383997627202,0.223314928301534,0.641936155784125,293,293,70,363,1.06143344709898,"1 - 2","success",0.999997530435179
