"","pathway","pval","padj","log2err","ES","NES","size"
"235","KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_PROPHASE",0.335652173913043,0.736953030154505,0.0934449219410994,0.531413756450895,1.1218160075124,16
"236","KEGG_MEDICUS_REFERENCE_COHESIN_LOADING",0.627599243856333,0.934258040001052,0.0647943366000727,0.477521161912159,0.878897204598943,9
"237","KEGG_MEDICUS_REFERENCE_COMMON_PATHWAY_OF_COMPLEMENT_CASCADE_MAC_FORMATION",0.405737704918033,0.795277431421446,0.0919686140000427,-0.570161260133398,-1.0720504064922,7
"238","KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING",0.904411764705882,1,0.0597317976364411,-0.262752670704965,-0.662958396005137,20
"239","KEGG_MEDICUS_REFERENCE_COPII_VESICLE_FORMATION",0.973070017953321,1,0.0419926218968594,0.267823248287879,0.53202142161751,12
"240","KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION",0.787974683544304,0.994936049539904,0.0458620343117985,0.339279791579345,0.759598715260204,23
"241","KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION",0.586626139817629,0.913483849193514,0.0934449219410994,-0.350144895042946,-0.919812288883091,28
"242","KEGG_MEDICUS_REFERENCE_CREATINE_PATHWAY",0.0856031128404669,0.388934764657308,0.213927855492356,0.805869226695998,1.41296020085414,7
"243","KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY",0.587896253602305,0.913782399503337,0.0902635484340068,-0.353863643281693,-0.918143670244163,26
"244","KEGG_MEDICUS_REFERENCE_CROSSTALK_BETWEEN_EXTRINSIC_AND_INTRINSIC_APOPTOTIC_PATHWAYS",0.0846681922196796,0.387925277582384,0.234392647294686,-0.582649078850482,-1.35924741872348,15
"245","KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY",0.904347826086957,1,0.0438879842863647,0.306035323420747,0.646041470530418,16
"246","KEGG_MEDICUS_REFERENCE_CXCL12_CXCR4_PKC_ERK_SIGNALING_PATHAWAY",0.663461538461538,0.951073949982051,0.0739901439101341,-0.35209920489985,-0.856130348280599,18
"247","KEGG_MEDICUS_REFERENCE_CXCR4_GNA12_13_RHO_SIGNALING_PATHWAY",0.528541226215645,0.893648292179409,0.0791316651768349,-0.468174411069993,-0.955690944169794,9
"248","KEGG_MEDICUS_REFERENCE_CXCR4_GNAI_PI3K_BAD_SIGNALING_PATHWAY",0.813483146067416,0.999349404793304,0.060640400949416,-0.342300925309204,-0.750367116477302,12
"249","KEGG_MEDICUS_REFERENCE_CXCR4_GNAQ_PLCB_G_CALCINEURIN_SIGNALING_PATHWAY",0.0249992560979739,0.173270402087236,0.352487857583619,-0.604062445712811,-1.52554331784108,21
"250","KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_PLCB_PKC_SIGNALING_PATHWAY",0.613496932515337,0.924182193446238,0.0913924325943768,-0.333192570175972,-0.891959156276345,29
"251","KEGG_MEDICUS_REFERENCE_CXCR4_GNB_G_RAC_SIGNALING_PATHWAY",0.673946957878315,0.955441157213409,0.0523759084097997,0.375030570308611,0.85447493143695,25
